Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites - Product,Edge Chromium 121,,,2024-02-25 13:21:28,2024-02-25 13:26:32,"5m - 4,112s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.1 Filter product name (A-Z),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-25 13:21:29,2024-02-25 13:21:54,"24,750s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-25 13:21:30,2024-02-25 13:21:49,"19,004s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-25 13:21:49,2024-02-25 13:21:49,"0,553s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:21:49,2024-02-25 13:21:51,"1,489s",PASSED
"click(findTestObject(""Product/Name (A-Z)""))",Edge Chromium 121,,,2024-02-25 13:21:51,2024-02-25 13:21:51,"0,475s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:21:51,2024-02-25 13:21:52,"1,359s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-25 13:21:52,2024-02-25 13:21:54,"1,099s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.2 Filter product name (Z-A),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-25 13:21:54,2024-02-25 13:22:15,"21,095s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-25 13:21:54,2024-02-25 13:22:10,"15,863s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-25 13:22:10,2024-02-25 13:22:11,"0,509s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:22:11,2024-02-25 13:22:12,"1,329s",PASSED
"click(findTestObject(""Product/Name (Z-A)""))",Edge Chromium 121,,,2024-02-25 13:22:12,2024-02-25 13:22:12,"0,480s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:22:12,2024-02-25 13:22:14,"1,231s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-25 13:22:14,2024-02-25 13:22:15,"1,106s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.3 Filter product price (low to high),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-25 13:22:15,2024-02-25 13:22:39,"24,075s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-25 13:22:15,2024-02-25 13:22:34,"18,853s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-25 13:22:34,2024-02-25 13:22:35,"0,494s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:22:35,2024-02-25 13:22:36,"1,292s",PASSED
"click(findTestObject(""Product/Price (low to high)""))",Edge Chromium 121,,,2024-02-25 13:22:36,2024-02-25 13:22:36,"0,527s",PASSED
