Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites - Login,Edge Chromium 121,This test suites for testing login,,2024-02-25 13:17:32,2024-02-25 13:20:40,"3m - 8,112s",PASSED
,,,,,,,
Test Cases/Login/1.1.1 - User login with standar_user,Edge Chromium 121,User login with standar_user,Login,2024-02-25 13:17:33,2024-02-25 13:17:51,"17,555s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-25 13:17:34,2024-02-25 13:17:39,"4,900s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-25 13:17:39,2024-02-25 13:17:43,"3,874s",PASSED
maximizeWindow(),Edge Chromium 121,,,2024-02-25 13:17:43,2024-02-25 13:17:43,"0,217s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:17:43,2024-02-25 13:17:44,"1,129s",PASSED
"setText(findTestObject(""Login/field_username""), standard_user)",Edge Chromium 121,,,2024-02-25 13:17:44,2024-02-25 13:17:46,"1,639s",PASSED
"setText(findTestObject(""Login/field_password""), password)",Edge Chromium 121,,,2024-02-25 13:17:46,2024-02-25 13:17:47,"1,050s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:17:47,2024-02-25 13:17:48,"0,741s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-25 13:17:48,2024-02-25 13:17:49,"0,767s",PASSED
"verifyTextPresent(""Swag Labs"", false)",Edge Chromium 121,,,2024-02-25 13:17:49,2024-02-25 13:17:49,"0,546s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:17:49,2024-02-25 13:17:51,"1,522s",PASSED
,,,,,,,
Test Cases/Login/1.1.2 - User login with locked_out_user,Edge Chromium 121,User login with standar_user,Login,2024-02-25 13:17:51,2024-02-25 13:18:34,"43,043s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-25 13:17:52,2024-02-25 13:17:55,"3,044s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-25 13:17:55,2024-02-25 13:17:57,"2,448s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:17:57,2024-02-25 13:17:58,"0,619s",PASSED
"setText(findTestObject(""Login/field_username""), locked_out_user)",Edge Chromium 121,,,2024-02-25 13:17:58,2024-02-25 13:17:59,"1,562s",PASSED
"setText(findTestObject(""Login/field_password""), password)",Edge Chromium 121,,,2024-02-25 13:17:59,2024-02-25 13:18:00,"1,190s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:00,2024-02-25 13:18:01,"0,819s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-25 13:18:01,2024-02-25 13:18:02,"0,619s",PASSED
"verifyElementText(findTestObject(""Login/assertion/h3_Epic sadface Sorry, this user has been locked out""), ""Epic sadface: Sorry, this user has been locked out."")",Edge Chromium 121,,,2024-02-25 13:18:02,2024-02-25 13:18:32,"30,312s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:32,2024-02-25 13:18:33,"0,510s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-25 13:18:33,2024-02-25 13:18:34,"1,038s",PASSED
,,,,,,,
Test Cases/Login/1.1.3 - User login with problem_user,Edge Chromium 121,User login with standar_user,Login,2024-02-25 13:18:34,2024-02-25 13:18:47,"13,277s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-25 13:18:34,2024-02-25 13:18:36,"1,986s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-25 13:18:36,2024-02-25 13:18:39,"2,365s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:39,2024-02-25 13:18:39,"0,610s",PASSED
"setText(findTestObject(""Login/field_username""), problem_user)",Edge Chromium 121,,,2024-02-25 13:18:39,2024-02-25 13:18:41,"2,120s",PASSED
"setText(findTestObject(""Login/field_password""), password)",Edge Chromium 121,,,2024-02-25 13:18:41,2024-02-25 13:18:43,"1,153s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:43,2024-02-25 13:18:43,"0,582s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-25 13:18:43,2024-02-25 13:18:44,"0,715s",PASSED
"verifyTextPresent(""Swag Labs"", false)",Edge Chromium 121,,,2024-02-25 13:18:44,2024-02-25 13:18:44,"0,394s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:44,2024-02-25 13:18:46,"1,697s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-25 13:18:46,2024-02-25 13:18:47,"1,047s",PASSED
,,,,,,,
Test Cases/Login/1.1.4 - User login with performance_glitch_user,Edge Chromium 121,User login with standar_user,Login,2024-02-25 13:18:47,2024-02-25 13:19:05,"17,506s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-25 13:18:48,2024-02-25 13:18:50,"1,934s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-25 13:18:50,2024-02-25 13:18:52,"2,390s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:52,2024-02-25 13:18:53,"0,650s",PASSED
"setText(findTestObject(""Login/field_username""), performance_glitch_user)",Edge Chromium 121,,,2024-02-25 13:18:53,2024-02-25 13:18:54,"1,694s",PASSED
"setText(findTestObject(""Login/field_password""), password)",Edge Chromium 121,,,2024-02-25 13:18:54,2024-02-25 13:18:55,"1,097s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:18:55,2024-02-25 13:18:56,"0,653s",PASSED
"click(findTestObject(""Login/button_login""))",Edge Chromium 121,,,2024-02-25 13:18:56,2024-02-25 13:19:02,"5,847s",PASSED
"verifyTextPresent(""Swag Labs"", false)",Edge Chromium 121,,,2024-02-25 13:19:02,2024-02-25 13:19:02,"0,388s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:19:02,2024-02-25 13:19:04,"1,280s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-25 13:19:04,2024-02-25 13:19:05,"0,979s",PASSED
,,,,,,,
Test Cases/Login/1.1.5 - User login with error_user,Edge Chromium 121,User login with standar_user,Login,2024-02-25 13:19:05,2024-02-25 13:19:18,"13,537s",PASSED
"openBrowser("""")",Edge Chromium 121,,,2024-02-25 13:19:05,2024-02-25 13:19:07,"1,926s",PASSED
navigateToUrl(baseUrl),Edge Chromium 121,,,2024-02-25 13:19:07,2024-02-25 13:19:10,"3,012s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-25 13:19:10,2024-02-25 13:19:11,"0,651s",PASSED
"setText(findTestObject(""Login/field_username""), error_user)",Edge Chromium 121,,,2024-02-25 13:19:11,2024-02-25 13:19:13,"2,035s",PASSED
