Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Product/Add to cart/3.3.2 User remove product with clicking button remove,Edge Chromium 121,User remove product with clicking button remove,Product,2024-02-22 11:28:13,2024-02-22 11:28:30,"17,837s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:28:13,2024-02-22 11:28:26,"12,820s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:28:26,2024-02-22 11:28:26,"0,467s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:26,2024-02-22 11:28:28,"1,243s",PASSED
"click(findTestObject(""Product/remove-cart""))",Edge Chromium 121,,,2024-02-22 11:28:28,2024-02-22 11:28:28,"0,427s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:28,2024-02-22 11:28:29,"1,296s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:28:29,2024-02-22 11:28:30,"0,976s",PASSED
,,,,,,,
Test Cases/Product/Add to cart/4.1.1 User want to back product,Edge Chromium 121,User want to back product,Product,2024-02-22 11:28:30,2024-02-22 11:28:49,"18,405s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:28:31,2024-02-22 11:28:43,"12,295s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:28:43,2024-02-22 11:28:44,"0,473s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:44,2024-02-22 11:28:45,"1,267s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:28:45,2024-02-22 11:28:45,"0,488s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:45,2024-02-22 11:28:46,"0,575s",PASSED
"click(findTestObject(""Product/btn-continue shopping""))",Edge Chromium 121,,,2024-02-22 11:28:46,2024-02-22 11:28:46,"0,466s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:46,2024-02-22 11:28:48,"1,299s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:28:48,2024-02-22 11:28:49,"1,072s",PASSED
,,,,,,,
Test Cases/Product/Add to cart/4.1.2 User want to remove product,Edge Chromium 121,User want to remove product,Product,2024-02-22 11:28:49,2024-02-22 11:29:06,"17,597s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:28:49,2024-02-22 11:29:02,"12,469s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:29:02,2024-02-22 11:29:02,"0,446s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:02,2024-02-22 11:29:03,"1,238s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:29:03,2024-02-22 11:29:04,"0,486s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:04,2024-02-22 11:29:05,"0,615s",PASSED
"click(findTestObject(""Product/btn-remove product""))",Edge Chromium 121,,,2024-02-22 11:29:05,2024-02-22 11:29:05,"0,494s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:05,2024-02-22 11:29:05,"0,473s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:29:05,2024-02-22 11:29:06,"0,948s",PASSED
,,,,,,,
Test Cases/Product/User information/4.2.1 User input data valid,Edge Chromium 121,User input data valid,User information,2024-02-22 11:29:06,2024-02-22 11:29:29,"22,305s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:29:07,2024-02-22 11:29:19,"12,184s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:29:19,2024-02-22 11:29:19,"0,427s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:29:19,2024-02-22 11:29:20,"0,603s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:29:20,2024-02-22 11:29:21,"0,626s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:21,2024-02-22 11:29:21,"0,673s",PASSED
"setText(findTestObject(""Product/firstname""), firstname)",Edge Chromium 121,,,2024-02-22 11:29:21,2024-02-22 11:29:22,"0,856s",PASSED
"setText(findTestObject(""Product/lastname""), lastname)",Edge Chromium 121,,,2024-02-22 11:29:22,2024-02-22 11:29:23,"1,025s",PASSED
"setText(findTestObject(""Product/postcal code""), PostcalCode)",Edge Chromium 121,,,2024-02-22 11:29:23,2024-02-22 11:29:26,"2,540s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:26,2024-02-22 11:29:26,"0,690s",PASSED
"click(findTestObject(""Product/btn-continue""))",Edge Chromium 121,,,2024-02-22 11:29:26,2024-02-22 11:29:27,"0,513s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:27,2024-02-22 11:29:28,"0,767s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:29:28,2024-02-22 11:29:29,"0,963s",PASSED
,,,,,,,
Test Cases/Product/User information/4.2.2 User input firstname null,Edge Chromium 121,User input firstname null,User information,2024-02-22 11:29:29,2024-02-22 11:29:52,"23,144s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:29:29,2024-02-22 11:29:42,"12,786s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:29:42,2024-02-22 11:29:42,"0,456s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:29:42,2024-02-22 11:29:43,"0,576s",PASSED
"click(findTestObject(""Product/btn-checkout""))",Edge Chromium 121,,,2024-02-22 11:29:43,2024-02-22 11:29:44,"0,578s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:29:44,2024-02-22 11:29:44,"0,642s",PASSED
